com_code,tcf_type,continent,area_code,area,item,unit,tcf
c03,tcf_density,EUR,80,Bosnia and Herzegovina,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,82,Gibraltar,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,84,Greece,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,85,Greenland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,94,Holy See,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,97,Hungary,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,98,Croatia,Wood fuel,kg/m3sw,558.4126
c03,tcf_density,EUR,99,Iceland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,104,Ireland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,106,Italy,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,119,Latvia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,125,Liechtenstein,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,126,Lithuania,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,134,Malta,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,146,Republic of Moldova,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,150,Netherlands,Wood fuel,kg/m3sw,550.42
c03,tcf_density,EUR,154,North Macedonia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,162,Norway,Wood fuel,kg/m3sw,457.64
c03,tcf_density,EUR,167,Czechia,Wood fuel,kg/m3sw,482
c03,tcf_density,EUR,173,Poland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,174,Portugal,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,183,Romania,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,185,Russian Federation,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,186,Serbia and Montenegro,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,192,San Marino,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,198,Slovenia,Wood fuel,kg/m3sw,548.122
c03,tcf_density,EUR,199,Slovakia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,203,Spain,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,210,Sweden,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,211,Switzerland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,223,Turkey,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,229,United Kingdom,Wood fuel,kg/m3sw,462
c03,tcf_density,EUR,230,Ukraine,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,248,Yugoslav SFR,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,255,Belgium,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,256,Luxembourg,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,272,Serbia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,273,Montenegro,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,LAM,8,Antigua and Barbuda,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,9,Argentina,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,12,Bahamas,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,14,Barbados,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,17,Bermuda,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,19,Bolivia (Plurinational State of),Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,21,Brazil,Wood fuel,kg/m3sw,518.884
c03,tcf_density,LAM,22,Aruba,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,23,Belize,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,36,Cayman Islands,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,40,Chile,Wood fuel,kg/m3sw,586.3525
c03,tcf_density,LAM,44,Colombia,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,48,Costa Rica,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,49,Cuba,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,55,Dominica,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,56,Dominican Republic,Wood fuel,kg/m3sw,584.6155
