area_code;area;com_code;item;c_share;nc_share
163;Northern Mariana Islands;c03;Wood fuel;NA;NA
164;Pacific Islands Trust Territory;c03;Wood fuel;NA;NA
172;Pitcairn Islands;c03;Wood fuel;NA;NA
180;Palau;c03;Wood fuel;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;c03;Wood fuel;NA;NA
188;Saint Kitts and Nevis;c03;Wood fuel;NA;NA
192;San Marino;c03;Wood fuel;NA;NA
205;Western Sahara;c03;Wood fuel;NA;NA
218;Tokelau;c03;Wood fuel;NA;NA
227;Tuvalu;c03;Wood fuel;NA;NA
228;USSR;c03;Wood fuel;NA;NA
242;Wake Island;c03;Wood fuel;NA;NA
243;Wallis and Futuna Islands;c03;Wood fuel;NA;NA
248;Yugoslav SFR;c03;Wood fuel;NA;NA
258;Anguilla;c03;Wood fuel;NA;NA
279;Curaçao;c03;Wood fuel;NA;NA
281;Saint-Martin (French Part);c03;Wood fuel;NA;NA
299;Palestine;c03;Wood fuel;NA;NA
252;Unspecified Area;c03;Wood fuel;NA;NA
254;Others (adjustment);c03;Wood fuel;NA;NA
999;RoW;c03;Wood fuel;NA;NA
;ASI;c03;Wood fuel;NA;NA
;EUR;c03;Wood fuel;NA;NA
;AFR;c03;Wood fuel;NA;NA
;LAM;c03;Wood fuel;NA;NA
;OCE;c03;Wood fuel;NA;NA
;NAM;c03;Wood fuel;NA;NA
