area_code,area,com_code,item,wood,literature
258,Anguilla,c08,Fibreboard,83,NA
279,Curaçao,c08,Fibreboard,83,NA
281,Saint-Martin (French Part),c08,Fibreboard,83,NA
33,Canada,c08,Fibreboard,84.5555555555556,NA
190,Saint Pierre and Miquelon,c08,Fibreboard,84.5555555555556,NA
231,United States of America,c08,Fibreboard,84.5555555555556,NA
5,American Samoa,c08,Fibreboard,84.5555555555556,NA
10,Australia,c08,Fibreboard,84.5555555555556,NA
25,Solomon Islands,c08,Fibreboard,84.5555555555556,NA
42,Christmas Island,c08,Fibreboard,84.5555555555556,NA
43,Cocos (Keeling) Islands,c08,Fibreboard,84.5555555555556,NA
47,Cook Islands,c08,Fibreboard,84.5555555555556,NA
66,Fiji,c08,Fibreboard,84.5555555555556,NA
70,French Polynesia,c08,Fibreboard,84.5555555555556,NA
71,French Southern and Antarctic Territories,c08,Fibreboard,84.5555555555556,NA
83,Kiribati,c08,Fibreboard,84.5555555555556,NA
88,Guam,c08,Fibreboard,84.5555555555556,NA
127,Marshall Islands,c08,Fibreboard,84.5555555555556,NA
145,Micronesia (Federated States of),c08,Fibreboard,84.5555555555556,NA
148,Nauru,c08,Fibreboard,84.5555555555556,NA
153,New Caledonia,c08,Fibreboard,84.5555555555556,NA
155,Vanuatu,c08,Fibreboard,84.5555555555556,NA
156,New Zealand,c08,Fibreboard,84.5555555555556,NA
160,Niue,c08,Fibreboard,84.5555555555556,NA
161,Norfolk Island,c08,Fibreboard,84.5555555555556,NA
163,Northern Mariana Islands,c08,Fibreboard,84.5555555555556,NA
168,Papua New Guinea,c08,Fibreboard,84.5555555555556,NA
172,Pitcairn Islands,c08,Fibreboard,84.5555555555556,NA
180,Palau,c08,Fibreboard,84.5555555555556,NA
218,Tokelau,c08,Fibreboard,84.5555555555556,NA
227,Tuvalu,c08,Fibreboard,84.5555555555556,NA
242,Wake Island,c08,Fibreboard,84.5555555555556,NA
243,Wallis and Futuna Islands,c08,Fibreboard,84.5555555555556,NA
244,Samoa,c08,Fibreboard,84.5555555555556,NA
999,RoW,c08,Fibreboard,84.5555555555556,NA
252,Unspecified Area,c08,Fibreboard,84.5555555555556,NA
254,Others (adjustment),c08,Fibreboard,84.5555555555556,NA
4,Algeria,c09,Particle board,82.5,Own calculations
7,Angola,c09,Particle board,82.5,Own calculations
20,Botswana,c09,Particle board,82.5,Own calculations
29,Burundi,c09,Particle board,82.5,Own calculations
32,Cameroon,c09,Particle board,82.5,Own calculations
35,Cabo Verde,c09,Particle board,82.5,Own calculations
37,Central African Republic,c09,Particle board,82.5,Own calculations
39,Chad,c09,Particle board,82.5,Own calculations
45,Comoros,c09,Particle board,82.5,Own calculations
46,Congo,c09,Particle board,82.5,Own calculations
53,Benin,c09,Particle board,82.5,Own calculations
59,Egypt,c09,Particle board,82.5,Own calculations
61,Equatorial Guinea,c09,Particle board,82.5,Own calculations
72,Djibouti,c09,Particle board,82.5,Own calculations
74,Gabon,c09,Particle board,82.5,Own calculations
75,Gambia,c09,Particle board,82.5,Own calculations
81,Ghana,c09,Particle board,82.5,Own calculations
90,Guinea,c09,Particle board,82.5,Own calculations
107,Cote d'Ivoire,c09,Particle board,82.5,Own calculations
114,Kenya,c09,Particle board,82.5,Own calculations
122,Lesotho,c09,Particle board,82.5,Own calculations
123,Liberia,c09,Particle board,82.5,Own calculations
124,Libya,c09,Particle board,82.5,Own calculations
129,Madagascar,c09,Particle board,82.5,Own calculations
130,Malawi,c09,Particle board,82.5,Own calculations
