area_code;area;com_code;item;c01_1_share;c01_2_share
229;United Kingdom;c01;Industrial roundwood, coniferous;NA;NA
230;Ukraine;c01;Industrial roundwood, coniferous;86.43;13.57
231;United States of America;c01;Industrial roundwood, coniferous;49.69;50.31
233;Burkina Faso;c01;Industrial roundwood, coniferous;NA;NA
234;Uruguay;c01;Industrial roundwood, coniferous;100.00;0.00
235;Uzbekistan;c01;Industrial roundwood, coniferous;0.00;0.00
236;Venezuela (Bolivarian Republic of);c01;Industrial roundwood, coniferous;40.94;59.06
237;Viet Nam;c01;Industrial roundwood, coniferous;100.00;0.00
238;Ethiopia;c01;Industrial roundwood, coniferous;50.00;50.00
239;British Virgin Islands;c01;Industrial roundwood, coniferous;NA;NA
244;Samoa;c01;Industrial roundwood, coniferous;NA;NA
249;Yemen;c01;Industrial roundwood, coniferous;NA;NA
250;Democratic Republic of the Congo;c01;Industrial roundwood, coniferous;NA;NA
251;Zambia;c01;Industrial roundwood, coniferous;70.07;29.93
255;Belgium;c01;Industrial roundwood, coniferous;65.63;34.38
256;Luxembourg;c01;Industrial roundwood, coniferous;72.90;27.10
270;Mayotte;c01;Industrial roundwood, coniferous;NA;NA
272;Serbia;c01;Industrial roundwood, coniferous;75.80;24.20
273;Montenegro;c01;Industrial roundwood, coniferous;78.00;22.00
276;Sudan;c01;Industrial roundwood, coniferous;0.00;0.00
277;South Sudan;c01;Industrial roundwood, coniferous;NA;NA
5;American Samoa;c01;Industrial roundwood, coniferous;NA;NA
8;Antigua and Barbuda;c01;Industrial roundwood, coniferous;NA;NA
17;Bermuda;c01;Industrial roundwood, coniferous;NA;NA
24;British Indian Ocean Territory;c01;Industrial roundwood, coniferous;NA;NA
36;Cayman Islands;c01;Industrial roundwood, coniferous;NA;NA
43;Cocos (Keeling) Islands;c01;Industrial roundwood, coniferous;NA;NA
71;French Southern and Antarctic Territories;c01;Industrial roundwood, coniferous;NA;NA
85;Greenland;c01;Industrial roundwood, coniferous;NA;NA
86;Grenada;c01;Industrial roundwood, coniferous;NA;NA
88;Guam;c01;Industrial roundwood, coniferous;NA;NA
94;Holy See;c01;Industrial roundwood, coniferous;NA;NA
127;Marshall Islands;c01;Industrial roundwood, coniferous;NA;NA
142;Montserrat;c01;Industrial roundwood, coniferous;NA;NA
148;Nauru;c01;Industrial roundwood, coniferous;NA;NA
163;Northern Mariana Islands;c01;Industrial roundwood, coniferous;NA;NA
164;Pacific Islands Trust Territory;c01;Industrial roundwood, coniferous;NA;NA
172;Pitcairn Islands;c01;Industrial roundwood, coniferous;NA;NA
180;Palau;c01;Industrial roundwood, coniferous;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;c01;Industrial roundwood, coniferous;NA;NA
188;Saint Kitts and Nevis;c01;Industrial roundwood, coniferous;NA;NA
192;San Marino;c01;Industrial roundwood, coniferous;NA;NA
205;Western Sahara;c01;Industrial roundwood, coniferous;NA;NA
218;Tokelau;c01;Industrial roundwood, coniferous;NA;NA
227;Tuvalu;c01;Industrial roundwood, coniferous;NA;NA
228;USSR;c01;Industrial roundwood, coniferous;NA;NA
242;Wake Island;c01;Industrial roundwood, coniferous;NA;NA
243;Wallis and Futuna Islands;c01;Industrial roundwood, coniferous;NA;NA
248;Yugoslav SFR;c01;Industrial roundwood, coniferous;NA;NA
258;Anguilla;c01;Industrial roundwood, coniferous;NA;NA
279;Curaçao;c01;Industrial roundwood, coniferous;NA;NA
281;Saint-Martin (French Part);c01;Industrial roundwood, coniferous;NA;NA
299;Palestine;c01;Industrial roundwood, coniferous;NA;NA
252;Unspecified Area;c01;Industrial roundwood, coniferous;NA;NA
254;Others (adjustment);c01;Industrial roundwood, coniferous;NA;NA
999;RoW;c01;Industrial roundwood, coniferous;NA;NA
;ASI;c01;Industrial roundwood, coniferous;NA;NA
;EUR;c01;Industrial roundwood, coniferous;NA;NA
;AFR;c01;Industrial roundwood, coniferous;NA;NA
;LAM;c01;Industrial roundwood, coniferous;NA;NA
;OCE;c01;Industrial roundwood, coniferous;NA;NA
;NAM;c01;Industrial roundwood, coniferous;NA;NA
