area_code,area,proc_code,process,shrinkage
203,Spain,p07,Plywood production,5.34374999999999
210,Sweden,p07,Plywood production,5.34374999999999
211,Switzerland,p07,Plywood production,5.34374999999999
223,Turkey,p07,Plywood production,5.34374999999999
229,United Kingdom,p07,Plywood production,5.34374999999999
230,Ukraine,p07,Plywood production,5.34374999999999
248,Yugoslav SFR,p07,Plywood production,5.34374999999999
255,Belgium,p07,Plywood production,5.34374999999999
256,Luxembourg,p07,Plywood production,5.34374999999999
272,Serbia,p07,Plywood production,5.34374999999999
273,Montenegro,p07,Plywood production,5.34374999999999
8,Antigua and Barbuda,p07,Plywood production,9.96666666666666
9,Argentina,p07,Plywood production,9.96666666666666
12,Bahamas,p07,Plywood production,9.96666666666666
14,Barbados,p07,Plywood production,9.96666666666666
17,Bermuda,p07,Plywood production,9.96666666666666
19,Bolivia (Plurinational State of),p07,Plywood production,9.96666666666666
21,Brazil,p07,Plywood production,9.96666666666666
22,Aruba,p07,Plywood production,9.96666666666666
23,Belize,p07,Plywood production,9.96666666666666
36,Cayman Islands,p07,Plywood production,9.96666666666666
40,Chile,p07,Plywood production,9.96666666666665
44,Colombia,p07,Plywood production,9.96666666666666
48,Costa Rica,p07,Plywood production,9.96666666666666
49,Cuba,p07,Plywood production,9.96666666666666
55,Dominica,p07,Plywood production,9.96666666666666
56,Dominican Republic,p07,Plywood production,9.96666666666666
58,Ecuador,p07,Plywood production,9.96666666666666
60,El Salvador,p07,Plywood production,9.96666666666666
65,Falkland Islands (Malvinas),p07,Plywood production,9.96666666666666
69,French Guyana,p07,Plywood production,9.96666666666666
86,Grenada,p07,Plywood production,9.96666666666666
87,Guadeloupe,p07,Plywood production,9.96666666666666
89,Guatemala,p07,Plywood production,9.96666666666666
91,Guyana,p07,Plywood production,9.96666666666666
93,Haiti,p07,Plywood production,9.96666666666666
95,Honduras,p07,Plywood production,9.96666666666666
109,Jamaica,p07,Plywood production,9.96666666666666
135,Martinique,p07,Plywood production,9.96666666666666
138,Mexico,p07,Plywood production,9.3
142,Montserrat,p07,Plywood production,9.96666666666666
151,Netherlands Antilles,p07,Plywood production,9.96666666666666
157,Nicaragua,p07,Plywood production,9.96666666666666
166,Panama,p07,Plywood production,9.96666666666666
169,Paraguay,p07,Plywood production,9.96666666666666
170,Peru,p07,Plywood production,9.96666666666666
188,Saint Kitts and Nevis,p07,Plywood production,9.96666666666666
189,Saint Lucia,p07,Plywood production,9.96666666666666
191,Saint Vincent and the Grenadines,p07,Plywood production,9.96666666666666
207,Suriname,p07,Plywood production,9.96666666666666
220,Trinidad and Tobago,p07,Plywood production,9.96666666666666
224,Turks and Caicos Islands,p07,Plywood production,9.96666666666666
234,Uruguay,p07,Plywood production,9.96666666666666
236,Venezuela (Bolivarian Republic of),p07,Plywood production,9.96666666666666
239,British Virgin Islands,p07,Plywood production,9.96666666666666
258,Anguilla,p07,Plywood production,9.96666666666666
279,Curaçao,p07,Plywood production,9.96666666666666
281,Saint-Martin (French Part),p07,Plywood production,9.96666666666666
33,Canada,p07,Plywood production,5
190,Saint Pierre and Miquelon,p07,Plywood production,4
231,United States of America,p07,Plywood production,3
5,American Samoa,p07,Plywood production,5.73708333333333
10,Australia,p07,Plywood production,5.73708333333333
25,Solomon Islands,p07,Plywood production,5.73708333333333
42,Christmas Island,p07,Plywood production,5.73708333333333
43,Cocos (Keeling) Islands,p07,Plywood production,5.73708333333333
47,Cook Islands,p07,Plywood production,5.73708333333333
66,Fiji,p07,Plywood production,5.73708333333333
70,French Polynesia,p07,Plywood production,5.73708333333333
71,French Southern and Antarctic Territories,p07,Plywood production,5.73708333333333
83,Kiribati,p07,Plywood production,5.73708333333333
88,Guam,p07,Plywood production,5.73708333333333
127,Marshall Islands,p07,Plywood production,5.73708333333333
145,Micronesia (Federated States of),p07,Plywood production,5.73708333333333
148,Nauru,p07,Plywood production,5.73708333333333
153,New Caledonia,p07,Plywood production,5.73708333333333
155,Vanuatu,p07,Plywood production,5.73708333333333
156,New Zealand,p07,Plywood production,5.73708333333333
160,Niue,p07,Plywood production,5.73708333333333
161,Norfolk Island,p07,Plywood production,5.73708333333333
163,Northern Mariana Islands,p07,Plywood production,5.73708333333333
168,Papua New Guinea,p07,Plywood production,5.73708333333333
172,Pitcairn Islands,p07,Plywood production,5.73708333333333
180,Palau,p07,Plywood production,5.73708333333333
218,Tokelau,p07,Plywood production,5.73708333333333
227,Tuvalu,p07,Plywood production,5.73708333333333
242,Wake Island,p07,Plywood production,5.73708333333333
243,Wallis and Futuna Islands,p07,Plywood production,5.73708333333333
244,Samoa,p07,Plywood production,5.73708333333333
999,RoW,p07,Plywood production,5.73708333333333
252,Unspecified Area,p07,Plywood production,5.73708333333333
254,Others (adjustment),p07,Plywood production,5.73708333333333
