area_code;area;com_code;item;c02_1_share;c02_2_share
238;Ethiopia;c02;Industrial roundwood, non-coniferous;83.3;16.7
239;British Virgin Islands;c02;Industrial roundwood, non-coniferous;NA;NA
244;Samoa;c02;Industrial roundwood, non-coniferous;100.0;0.0
249;Yemen;c02;Industrial roundwood, non-coniferous;6.3;93.8
250;Democratic Republic of the Congo;c02;Industrial roundwood, non-coniferous;100.0;0.0
251;Zambia;c02;Industrial roundwood, non-coniferous;100.0;0.0
255;Belgium;c02;Industrial roundwood, non-coniferous;75.6;24.4
256;Luxembourg;c02;Industrial roundwood, non-coniferous;28.4;71.6
270;Mayotte;c02;Industrial roundwood, non-coniferous;100.0;0.0
272;Serbia;c02;Industrial roundwood, non-coniferous;96.6;3.4
273;Montenegro;c02;Industrial roundwood, non-coniferous;78.0;22.0
276;Sudan;c02;Industrial roundwood, non-coniferous;54.5;45.5
277;South Sudan;c02;Industrial roundwood, non-coniferous;NA;NA
5;American Samoa;c02;Industrial roundwood, non-coniferous;NA;NA
8;Antigua and Barbuda;c02;Industrial roundwood, non-coniferous;NA;NA
17;Bermuda;c02;Industrial roundwood, non-coniferous;NA;NA
24;British Indian Ocean Territory;c02;Industrial roundwood, non-coniferous;NA;NA
36;Cayman Islands;c02;Industrial roundwood, non-coniferous;NA;NA
43;Cocos (Keeling) Islands;c02;Industrial roundwood, non-coniferous;NA;NA
71;French Southern and Antarctic Territories;c02;Industrial roundwood, non-coniferous;NA;NA
85;Greenland;c02;Industrial roundwood, non-coniferous;NA;NA
86;Grenada;c02;Industrial roundwood, non-coniferous;NA;NA
88;Guam;c02;Industrial roundwood, non-coniferous;NA;NA
94;Holy See;c02;Industrial roundwood, non-coniferous;NA;NA
127;Marshall Islands;c02;Industrial roundwood, non-coniferous;NA;NA
142;Montserrat;c02;Industrial roundwood, non-coniferous;NA;NA
148;Nauru;c02;Industrial roundwood, non-coniferous;NA;NA
163;Northern Mariana Islands;c02;Industrial roundwood, non-coniferous;NA;NA
164;Pacific Islands Trust Territory;c02;Industrial roundwood, non-coniferous;NA;NA
172;Pitcairn Islands;c02;Industrial roundwood, non-coniferous;NA;NA
180;Palau;c02;Industrial roundwood, non-coniferous;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;c02;Industrial roundwood, non-coniferous;NA;NA
188;Saint Kitts and Nevis;c02;Industrial roundwood, non-coniferous;NA;NA
192;San Marino;c02;Industrial roundwood, non-coniferous;NA;NA
205;Western Sahara;c02;Industrial roundwood, non-coniferous;NA;NA
218;Tokelau;c02;Industrial roundwood, non-coniferous;NA;NA
227;Tuvalu;c02;Industrial roundwood, non-coniferous;NA;NA
228;USSR;c02;Industrial roundwood, non-coniferous;NA;NA
242;Wake Island;c02;Industrial roundwood, non-coniferous;NA;NA
243;Wallis and Futuna Islands;c02;Industrial roundwood, non-coniferous;100.0;0.0
248;Yugoslav SFR;c02;Industrial roundwood, non-coniferous;NA;NA
258;Anguilla;c02;Industrial roundwood, non-coniferous;NA;NA
279;Curaçao;c02;Industrial roundwood, non-coniferous;NA;NA
281;Saint-Martin (French Part);c02;Industrial roundwood, non-coniferous;NA;NA
299;Palestine;c02;Industrial roundwood, non-coniferous;NA;NA
252;Unspecified Area;c02;Industrial roundwood, non-coniferous;NA;NA
254;Others (adjustment);c02;Industrial roundwood, non-coniferous;NA;NA
999;RoW;c02;Industrial roundwood, non-coniferous;NA;NA
;ASI;c02;Industrial roundwood, non-coniferous;NA;NA
;EUR;c02;Industrial roundwood, non-coniferous;NA;NA
;AFR;c02;Industrial roundwood, non-coniferous;NA;NA
;LAM;c02;Industrial roundwood, non-coniferous;NA;NA
;OCE;c02;Industrial roundwood, non-coniferous;NA;NA
;NAM;c02;Industrial roundwood, non-coniferous;NA;NA
